county_fips,HPSA Score,State,County,Rural-urban score,Population,Birth rate,Death rate,% poverty (ages 0-17),Unemployment rate,Median Income,"% adults, < HS diploma","% adults, HS diploma only","% adults, some college","% adults, college degree or higher",Population change,pop / PC,"pop / PC, MD only","pop / PC, NP only"
54105,14.0,WV,Wirt County,3.0,5770.0,9.8,9.0,27.0,8.8,87.0,16.7,48.8,24.9,9.7,-0.006065857885615251,1923.3333333333333,2885.0,5770.0
54027,9.0,WV,Hampshire County,3.0,23343.0,10.7,11.6,25.0,4.4,104.6,20.0,49.6,19.0,11.4,0.0010709848776935269,2917.875,23343.0,3334.714285714286
54047,16.0,WV,McDowell County,7.0,19139.0,10.1,17.0,44.0,12.2,56.7,35.1,44.9,14.8,5.2,-0.02952087360886149,1594.9166666666667,9569.5,1913.9
54023,12.0,WV,Grant County,7.0,11643.0,11.3,10.8,23.0,6.0,89.1,18.3,46.9,20.8,14.0,-0.0019754358842222794,1164.3,1293.6666666666667,11643.0
53069,17.0,WA,Wahkiakum County,8.0,4176.0,5.1,7.6,25.0,8.5,80.8,6.9,30.6,47.4,15.1,0.03807471264367816,4176.0,4176.0,4176.0
53029,12.0,WA,Island County,4.0,81638.0,12.0,9.3,12.0,5.8,96.1,5.2,22.8,40.2,31.7,0.020076434993507926,2332.5142857142855,4296.736842105263,5102.375
53035,10.0,WA,Kitsap County,2.0,263109.0,12.1,8.6,12.0,5.5,102.4,5.7,22.6,40.5,31.2,0.014951978077526804,1110.1645569620252,1920.5036496350365,2631.09
53045,16.0,WA,Mason County,4.0,62123.0,10.6,10.8,23.0,7.5,78.7,12.6,31.7,37.1,18.6,0.01833459427265264,3654.294117647059,5647.545454545455,10353.833333333334
53019,17.0,WA,Ferry County,9.0,7542.0,8.8,9.2,28.0,10.2,60.5,12.5,31.5,37.9,18.1,0.0027844073190135244,1508.4,2514.0,3771.0
53023,13.0,WA,Garfield County,8.0,2257.0,13.4,9.4,19.0,5.8,77.4,3.6,31.7,40.5,24.2,0.011519716437749225,2257.0,2257.0,2257.0
53059,14.0,WA,Skamania County,1.0,11593.0,7.8,6.0,18.0,6.9,83.2,9.5,28.6,39.2,22.7,0.018631933063055293,11593.0,11593.0,5796.5
51117,12.0,VA,Mecklenburg County,7.0,30786.0,8.4,14.5,26.0,5.7,67.3,20.1,32.8,30.0,17.1,-0.005359579029428962,855.1666666666666,1620.3157894736842,1810.9411764705883
51025,16.0,VA,Brunswick County,6.0,16275.0,8.1,13.2,30.0,6.0,57.9,22.7,37.8,27.1,12.4,-0.013947772657450078,2325.0,5425.0,4068.75
51017,9.0,VA,Bath County,8.0,4413.0,7.4,9.9,18.0,3.7,69.1,12.7,41.2,30.7,15.4,-0.010650351234987537,4413.0,1471.0,4413.0
51033,9.0,VA,Caroline County,1.0,30071.0,12.2,9.6,15.0,4.5,81.4,16.6,37.5,27.1,18.8,0.005753051112367397,3758.875,4295.857142857143,30071.0
51159,10.0,VA,Richmond County,9.0,8784.0,8.8,10.8,24.0,3.7,66.6,19.4,40.9,26.2,13.4,-0.0012522768670309653,2928.0,4392.0,8784.0
51057,10.0,VA,Essex County,6.0,11096.0,11.0,10.5,24.0,4.9,73.4,17.9,37.4,28.0,16.7,0.0016222062004325882,853.5384615384615,1109.6,3698.6666666666665
51111,13.0,VA,Lunenburg County,9.0,12266.0,9.9,13.2,26.0,4.7,56.2,24.2,35.5,28.5,11.8,-0.005217674873634437,2453.2,3066.5,12266.0
51045,14.0,VA,Craig County,2.0,5140.0,9.7,10.3,22.0,4.8,70.8,12.9,46.2,28.0,13.0,0.0001945525291828794,2570.0,5140.0,5140.0
51181,14.0,VA,Surry County,8.0,6570.0,8.8,10.4,22.0,5.3,76.0,16.4,30.1,30.7,22.8,-0.015220700152207,6570.0,6570.0,6570.0
51071,11.0,VA,Giles County,3.0,16887.0,11.4,12.7,18.0,5.4,76.0,14.8,39.3,30.0,15.9,0.006750755018653402,1688.7,2110.875,8443.5
